Source,Target
https://www.navvis.com,https://www.navvis.com/vlx
https://www.navvis.com,https://www.navvis.com/m6
https://www.navvis.com,https://www.navvis.com/ivion/core
https://www.navvis.com,https://www.navvis.com/ivion/enterprise
https://www.navvis.com,https://www.navvis.com/ivion/go
https://www.navvis.com,https://www.navvis.com/reality-capture
https://www.navvis.com,https://www.navvis.com/digital-factory
https://www.navvis.com,https://www.navvis.com/partners
https://www.navvis.com,https://www.navvis.com/resources/content-library
https://www.navvis.com,https://www.navvis.com/blog
https://www.navvis.com,https://www.navvis.com/technology/slam
https://www.navvis.com,https://www.navvis.com/technology/scan-to-bim
https://www.navvis.com,https://www.navvis.com/company/trust-center
https://www.navvis.com,https://www.navvis.com/newsletter
https://www.navvis.com,https://www.navvis.com/events
https://www.navvis.com,https://www.navvis.com/blog/tag/press-release
https://www.navvis.com,https://www.navvis.com/de
https://www.navvis.com,https://www.navvis.com/fr
https://www.navvis.com,https://www.navvis.com/zh
https://www.navvis.com,https://www.navvis.com/ivion
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=c7652032-2030-4b8e-a66a-0310283ba528&signature=AAH58kGpdZJnSNfbCWa5rSHdL5DCetbKtQ&pageId=52337644831&placement_guid=60d56228-db0b-4a02-b20b-c15fa0698300&click=9f5cd7da-8153-44ba-92ae-9485aeb4e0fa&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpGT69EJa2gqa1XpG1mBgs-3RhyDGsBNIkUiS-DNEeO5LlTxjcBcvSGq4RzxroX33ChEhcPzIHFgafK3HVILDXZNjtb-8uPO0cO9AQhJ_SK4b4obCmfXx0U0Tf4kQOgJ-z_2aqIN&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=17c72ed7-9fb9-42df-8d69-b98191672dd9&signature=AAH58kGeFBNBCcQFxa7jpJV-_OsEbs643g&pageId=52337644831&placement_guid=34796629-5809-4bb9-8230-3eb9aa216ada&click=f2df94ce-40dc-4504-95e3-9b686151d470&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpGbuIqZ-cuCuMzkr-qv1BjuMT6fxY90lcgq1UvWwfpes9y-YzLKcnWCH7wIOuujyn4eUn1RmHgmQsP_XEwok5N30bVFJ-CB-hJrnnTb06KZO8qWxn0EhM01qJ_IXuD79aye8ru0&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=case-study&topic=laser-scanning&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/case-studies/crewb
https://www.navvis.com,https://www.navvis.com/blog?__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/blog/how-dynamic-object-removal-helps-you-capture-active-sites-with-ease
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=webinar&topic=laser-scanning&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/webinars/how-mobile-mapping-technology-has-transformed-work-in-the-field
https://www.navvis.com,https://www.navvis.com/partners?__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=c8928890-dad9-4c06-b9ac-ab28f8b492eb&signature=AAH58kEN6XtkxivsLWy-F-06EUVNCTz_eQ&pageId=52337644831&placement_guid=486c97f9-974b-43f6-b1ec-006b8d0611d9&click=7bfcd870-11d7-43a7-bbbd-776779917747&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpGxJhkaPe9peqwSl38VFeTlGB0WJKPppgyKDBJqvN5HxKNI3vhYLXVdTGomBYSTFi5EiJAf2h94e6Mwwdnp5O6c2uG0aQQ5YwLfBQArxoxqZDsSZ-Y3aDwqJXyPZLV-T1gg1_NI&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/content-library?topic=digital-factory&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/survey/digital-factory
https://www.navvis.com,https://www.navvis.com/blog/navvis-digital-factory-use-cases-equipment-relocation
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=case-study&topic=digital-factory&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/case-studies/audi
https://www.navvis.com,https://www.navvis.com/partners?type=solution-partner&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=27b14fcd-83fe-43b5-a44a-425e88833aa2&signature=AAH58kGrahvxu2NuEGnJKxd_dxQfJVArfA&pageId=52337644831&placement_guid=c8b78b2e-4143-4f5a-a510-ad3a5a4e0f3a&click=458f5787-960a-4524-abbb-2b48c21e0a85&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpHSHAYwOUdmItOZB-5oniang8Q2zh59lipVPkR3MUtfV4hQ_7a4pbXp6Ad_h3uueUuh2C2h-M9-l3FBpCSgZFHJc7pdbxBeUU_zGbJJZkVrc4fd8a5AldtgiGyf7Lbdy3Sc_7SBf43rWODHBJDIG7CyChuDZg&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=db4ce5a6-e7a0-4ba1-9081-11b4acdc9862&signature=AAH58kHke579WMAgBe5_Thj1c-WRV7-cPA&pageId=52337644831&placement_guid=f527060f-b70b-43c3-8df3-2b574cd3f257&click=5e6e27c7-5c83-4997-b41c-a61c2391470f&hsutk=ae2ac317f26e33c48b2d6fd0ba5b5e57&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpHRNR1_ApblkgbNbdlpK5LSZiMYQb57ziV-eTgttr4EOJsY1AvlJ1kF4ep3ssNm-HjJZvylmvVUF5S4eTAifMlmWrBHBVP7yRLWZcfqi-hKf7kJZT4&__hstc=33138465.ae2ac317f26e33c48b2d6fd0ba5b5e57.1652176028190.1652176028190.1652176028190.1&__hssc=33138465.1.1652176028190&__hsfp=1462360733&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/imprint
https://www.navvis.com/vlx,https://www.navvis.com/de/vlx
https://www.navvis.com/vlx,https://www.navvis.com/fr/vlx
https://www.navvis.com/vlx,https://www.navvis.com/zh/vlx
https://www.navvis.com/vlx,https://www.navvis.com/cs/c/?cta_guid=c7652032-2030-4b8e-a66a-0310283ba528&signature=AAH58kFl5s8AKRoBm4bKN7juNk7gmzMdpQ&pageId=52181680535&placement_guid=60d56228-db0b-4a02-b20b-c15fa0698300&click=734cfcc3-6644-48f3-aed3-643719d7e6ad&hsutk=e5e9aa6ca18281d7cd5811fd7eeda866&canon=https%3A%2F%2Fwww.navvis.com%2Fvlx&portal_id=3339696&redirect_url=APefjpFoJmBpIWfAWZzwgA9_w2A8Q4jtG2N-5VR7kRN4aGytwHxn1tCcpNXbZs2Mlggyozjqpwwngh2DVzA3en04341O_ykmTgRVdjZQhT4F1BBjtwOjYNgTUetdXpgUuc4-MxyNYQpe&__hstc=33138465.e5e9aa6ca18281d7cd5811fd7eeda866.1652176044150.1652176044150.1652176044150.1&__hssc=33138465.1.1652176044150&__hsfp=1462360733&contentType=standard-page
