Source,Target
https://placenote.com,https://docs.placenote.com
https://placenote.com,https://answers.placenote.com
https://placenote.com,https://placenote.com/blog
https://placenote.com,https://dabble.so
https://placenote.com,https://placenote.com/scanning
https://placenote.com,https://developer.placenote.com
https://placenote.com,https://placenote.com/pricing
https://placenote.com,https://placenote.com/about-the-sdk
https://placenote.com,https://placenote.com/annotations
https://placenote.com,https://medium.com/placenote
https://docs.placenote.com,https://docs.placenote.com/unity/unity-getting-started
https://docs.placenote.com,https://docs.placenote.com/swift/swift-getting-started
https://docs.placenote.com,https://docs.placenote.com/getting-started
https://docs.placenote.com,https://docs.placenote.com/whats-new-in-sdk-1.8
https://docs.placenote.com,https://docs.placenote.com/supported-devices
https://docs.placenote.com,https://docs.placenote.com/unity/build-the-sample-apps
https://placenote.com/blog,https://placenote.com/blog/signup
https://placenote.com/blog,https://placenote.com/blog/sunsetting-placenote-sdk-and-our-new-product-launch
https://placenote.com/blog,https://placenote.com/blog/author/neil
https://placenote.com/blog,https://placenote.com/blog/an-intro-to-3d-coordinate-frames-for-augmented-reality
https://placenote.com/blog,https://placenote.com/blog/author/nav
https://placenote.com/blog,https://placenote.com/blog/real-world-cursor-with-arkit-hittest
https://placenote.com/blog,https://placenote.com/blog/ar-designers-should-look
https://placenote.com/blog,https://placenote.com/blog/author/avery
https://placenote.com/blog,https://placenote.com/blog/sdk-1-8-release-announcement
https://placenote.com/blog,https://ghost.org
https://dabble.so,https://www.dabble.so/cart
https://dabble.so,https://www.dabble.so/#page
https://dabble.so,https://www.dabble.so
https://dabble.so,https://app.dabble.so
https://dabble.so,https://www.dabble.so/ecommerce
https://dabble.so,https://www.dabble.so/labs
https://dabble.so,https://blog.dabble.so
https://placenote.com/scanning,https://placenote.com/persistentar
https://developer.placenote.com,https://placenote.com/docs
https://placenote.com/about-the-sdk,https://docs.placenote.com/unity
https://placenote.com/about-the-sdk,https://docs.placenote.com/swift
https://medium.com/placenote,https://medium.com
https://medium.com/placenote,https://medium.com/placenote/tagged/release-notes
https://medium.com/placenote,https://medium.com/placenote/tagged/tutorial
https://medium.com/placenote,https://medium.com/placenote/tagged/design
https://medium.com/placenote,https://medium.com/placenote/placenote-sdk-1-6-9-is-released-85273b1345d7?source=collection_home---4------0-----------------------
https://medium.com/placenote,https://medium.com/placenote/placenote-sdk-1-6-8-is-here-7e0de35e1744?source=collection_home---4------1-----------------------
https://medium.com/placenote,https://medium.com/placenote/saving-arkit-planes-and-meshes-across-multiple-sessions-using-placenotesdk-fd3ebaa86d2a?source=collection_home---4------2-----------------------
https://medium.com/placenote,https://medium.com/placenote/markerless-persistent-rendering-of-scnodes-using-arkit-and-placenote-sdk-9c61f033bfd9?source=collection_home---4------3-----------------------
https://medium.com/placenote,https://medium.com/placenote/what-does-it-mean-to-be-a-location-based-augmented-reality-app-61e481bada57?source=collection_home---4------4-----------------------
https://medium.com/placenote,https://medium.com/placenote/practical-design-considerations-for-augmented-reality-apps-on-mobile-phones-517469f4a09c?source=collection_home---4------5-----------------------
https://medium.com/placenote,https://medium.com/placenote/reality-is-broken-so-design-a-new-one-d399a9426bb4?source=collection_home---4------6-----------------------
https://medium.com/placenote,https://medium.com/placenote/latest
https://medium.com/placenote,https://medium.com/placenote/archive
