Source,Target
https://besense-iot.com,https://besense-iot.com/#blog
https://besense-iot.com,https://besense-iot.com/#home
https://besense-iot.com,https://besense-iot.com/#vera
https://besense-iot.com,https://besense-iot.com/#pricing
https://besense-iot.com,https://besense-iot.com/#im20
https://besense-iot.com,https://besense-iot.com/#ix30
https://besense-iot.com,https://besense-iot.com/#ix32
https://besense-iot.com,https://besense-iot.com/#parallax-address
https://besense-iot.com,http://besense-iot.com/blog/#more-98
https://besense-iot.com,https://besense-iot.com/blog/#more-98
https://besense-iot.com,http://besense-iot.com/vera/#more-572
https://besense-iot.com,https://besense-iot.com/vera/#more-572
https://besense-iot.com,https://besense-iot.com/IX30
https://besense-iot.com,http://besense-iot.com/ix30
https://besense-iot.com,https://besense-iot.com/Smartthings/ix30_owner_manual_v2.pdf
https://besense-iot.com,https://besense-iot.com/ix30
https://besense-iot.com,https://besense-iot.com/IX32
https://besense-iot.com,http://besense-iot.com/ix32
https://besense-iot.com,https://besense-iot.com/Smartthings/ix32_owner_manual_v2.pdf
https://besense-iot.com,https://besense-iot.com/ix32
https://besense-iot.com,https://besense-iot.com/im20
https://besense-iot.com,http://besense-iot.com/im20
https://besense-iot.com,https://besense-iot.com/Smartthings/im20_owner_manual_v4A.pdf
https://besense-iot.com,http://besense-iot.com/wp-content/uploads/2018/03/Design-and-application-guide.pdf
http://besense-iot.com/blog/#more-98,http://besense-iot.com/blog
http://besense-iot.com/vera/#more-572,https://home.getvera.com/users/login
http://besense-iot.com/vera/#more-572,http://besense-iot.com/vera
https://besense-iot.com/vera/#more-572,https://besense-iot.com/vera
