Source,Target
https://www.navvis.com,https://www.navvis.com/vlx
https://www.navvis.com,https://www.navvis.com/m6
https://www.navvis.com,https://www.navvis.com/ivion/core
https://www.navvis.com,https://www.navvis.com/ivion/enterprise
https://www.navvis.com,https://www.navvis.com/ivion/go
https://www.navvis.com,https://www.navvis.com/reality-capture
https://www.navvis.com,https://www.navvis.com/digital-factory
https://www.navvis.com,https://www.navvis.com/partners
https://www.navvis.com,https://www.navvis.com/resources/content-library
https://www.navvis.com,https://www.navvis.com/blog
https://www.navvis.com,https://www.navvis.com/technology/slam
https://www.navvis.com,https://www.navvis.com/technology/scan-to-bim
https://www.navvis.com,https://www.navvis.com/company/trust-center
https://www.navvis.com,https://www.navvis.com/newsletter
https://www.navvis.com,https://support.navvis.com
https://www.navvis.com,https://www.navvis.com/events
https://www.navvis.com,https://www.navvis.com/blog/tag/press-release
https://www.navvis.com,https://www.navvis.com/company/contact
https://www.navvis.com,https://www.navvis.com/de
https://www.navvis.com,https://www.navvis.com/fr
https://www.navvis.com,https://www.navvis.com/zh
https://www.navvis.com,https://www.navvis.com/ivion
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=c7652032-2030-4b8e-a66a-0310283ba528&signature=AAH58kHhOC5sUCz66npOihzROlxfCrRqWw&pageId=52337644831&placement_guid=60d56228-db0b-4a02-b20b-c15fa0698300&click=3eb60e3b-07c0-48b8-bd04-54d16838cdd6&hsutk=b505221c1ee9f8f8817eac2ebcba8621&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpFIfmKnaF1y0Ne_Xls96e4NwDdRdvhO18McYFPRndNyvudb9kMu_5rYZ13_xUdNl7RiALepvyeGnTi1n4XVvU05TUoBgQl4DdK_tdf6iX1OOYR0CngnU4c60e7Ddu-zvoRmzhWF&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=17c72ed7-9fb9-42df-8d69-b98191672dd9&signature=AAH58kHUa3e9uO9wkc4sBk7_q6LWTXmQdw&pageId=52337644831&placement_guid=34796629-5809-4bb9-8230-3eb9aa216ada&click=b49c7b26-5099-4ce5-a9df-2ca358c1f1b6&hsutk=b505221c1ee9f8f8817eac2ebcba8621&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpGX0mc2RvvE0194PXs2D9OFTwifxkr3Gk4yEJbFRKY_a2PbCE7pTvRloPwDHgoXXcDy8ZtlrESLsW9aks6m2y3tGFf8nzTlSLqaLyhNKRWLX8_mblCK_kGgdajTWIns69eLAP9q&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=case-study&topic=laser-scanning&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/case-studies/crewb
https://www.navvis.com,https://www.navvis.com/blog?__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/blog/how-dynamic-object-removal-helps-you-capture-active-sites-with-ease
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=webinar&topic=laser-scanning&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/webinars/how-mobile-mapping-technology-has-transformed-work-in-the-field
https://www.navvis.com,https://www.navvis.com/partners?__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=c8928890-dad9-4c06-b9ac-ab28f8b492eb&signature=AAH58kFDJ0ZmYqRRIkZED7S8UbhWO8O3uw&pageId=52337644831&placement_guid=486c97f9-974b-43f6-b1ec-006b8d0611d9&click=031d12b9-1ccb-415b-ad5e-6e3703d0fbcb&hsutk=b505221c1ee9f8f8817eac2ebcba8621&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpEmiNUiJ61rcSRvAb-yhLbduKqy_mDOBzPVBg7vrIzgK-tlXnmHXWxR7m9hBkvjkKnn4pAGq5ynL-DJTCrplA4BDyh3QqUf6dk8iMuYn-nd4_4z7J3wmjTVPsj3tIKXi7-aq1Fi&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/content-library?topic=digital-factory&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/survey/digital-factory
https://www.navvis.com,https://www.navvis.com/blog/navvis-digital-factory-use-cases-equipment-relocation
https://www.navvis.com,https://www.navvis.com/resources/content-library?type=case-study&topic=digital-factory&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/resources/case-studies/audi
https://www.navvis.com,https://www.navvis.com/partners?type=solution-partner&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&hsutk=b505221c1ee9f8f8817eac2ebcba8621&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=27b14fcd-83fe-43b5-a44a-425e88833aa2&signature=AAH58kEA72rL8ieHyboj_wUd865stKzV7Q&pageId=52337644831&placement_guid=c8b78b2e-4143-4f5a-a510-ad3a5a4e0f3a&click=cf1c3c07-7539-4379-8852-835d2a9652cc&hsutk=b505221c1ee9f8f8817eac2ebcba8621&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpHFDVg3ip40CdOx_k4nZuQdj9y4RgLRswl-EdDW8gDl5a5M6svbF7yBVzydSI9f1cHNQ07qt0BjKM1adhuNAsgGclpqgS_rzUHHx_mgqq3zruj4yJmYbB06Og6pInC3QK2uykcdLk8CKhVHZGl3UAPZD1TN4A&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/cs/c/?cta_guid=db4ce5a6-e7a0-4ba1-9081-11b4acdc9862&signature=AAH58kF37Hcm3XGUBVk878nQlx9YEBrxvw&pageId=52337644831&placement_guid=f527060f-b70b-43c3-8df3-2b574cd3f257&click=8d38d838-39a6-4a07-b301-4b5d96854e26&hsutk=b505221c1ee9f8f8817eac2ebcba8621&canon=https%3A%2F%2Fwww.navvis.com%2F&portal_id=3339696&redirect_url=APefjpEdHn_irmrt4xQQih0GHh2jHPpJ_sz97rgn74RXqAGSxQk7CHW44-Tt227yXf5Bxsz_DB5CLILWi2GhQ9vO8Rp1lsDsYIQ5jO0OJSaDLQxaziMWVd0&__hstc=33138465.b505221c1ee9f8f8817eac2ebcba8621.1652232966403.1652232966403.1652232966403.1&__hssc=33138465.1.1652232966403&__hsfp=935741211&contentType=standard-page
https://www.navvis.com,https://www.navvis.com/imprint
https://www.navvis.com/vlx,https://www.navvis.com/de/vlx
https://www.navvis.com/vlx,https://www.navvis.com/fr/vlx
https://www.navvis.com/vlx,https://www.navvis.com/zh/vlx
https://www.navvis.com/vlx,https://www.navvis.com/cs/c/?cta_guid=c7652032-2030-4b8e-a66a-0310283ba528&signature=AAH58kFMaSICOkBixUHJS4kXczd-sYboGg&pageId=52181680535&placement_guid=60d56228-db0b-4a02-b20b-c15fa0698300&click=c19de90e-29a9-43f1-aa56-cdb02763dfef&hsutk=0cc4317c3ddb777f370cfa78fba4da00&canon=https%3A%2F%2Fwww.navvis.com%2Fvlx&portal_id=3339696&redirect_url=APefjpFUIaFkmWBGVN1LaBtBIUzrWtSPSdK-_5kLmKuA_Pp2vQfq_vflHCuu5QBHJ3KUe_osmL1cA4xHRu9-C2t_0hqqNpN6Fxd3QZPtRBPLA-jZdSDFINiw72t60XeXQwzYEvIZl3oE&__hstc=33138465.0cc4317c3ddb777f370cfa78fba4da00.1652232977201.1652232977201.1652232977201.1&__hssc=33138465.1.1652232977202&__hsfp=935741211&contentType=standard-page
