Source,Target
http://www.occipital.com,https://occipital.com
http://www.occipital.com,https://occipital.com/#product_module_a
http://www.occipital.com,https://occipital.com/#product_module_d
http://www.occipital.com,https://occipital.com/news
http://www.occipital.com,https://occipital.com/#show-apple-event-video
http://www.occipital.com,https://occipital.com/#lidar-video
http://www.occipital.com,https://structure.io/structure-sensor
http://www.occipital.com,http://canvas.io
http://www.occipital.com,http://structure.io/structure-sensor
http://www.occipital.com,http://structure.io/developers
http://www.occipital.com,http://structure.io/structure-core
http://www.occipital.com,https://canvas.io
http://www.occipital.com,https://tapmeasure.io
http://www.occipital.com,http://skanect.occipital.com
http://www.occipital.com,https://support.structure.io
http://www.occipital.com,https://forums.structure.io
http://www.occipital.com,https://structure.io/getstarted
http://www.occipital.com,http://occipital.com
https://occipital.com/news,http://structure.io
https://occipital.com/news,https://structure.io/structure-sensor/mark-ii
https://occipital.com/news,https://occipital.com/2019/mark-ii-announcement
https://occipital.com/news,https://occipital.com/2018/structure-core-launch
https://occipital.com/news,https://occipital.com/2017/paracosm-acquisition
https://occipital.com/news,https://occipital.com/2017/tapmeasure-launches
https://occipital.com/news,https://occipital.com/2017/bridge-ships
https://occipital.com/news,https://occipital.com/2016/bridge
https://occipital.com/news,https://occipital.com/2016/replica-announcement
https://occipital.com/news,https://occipital.com/2015/lynx-acquisition
https://occipital.com/news,https://occipital.com/2015/series-b
https://structure.io/structure-sensor,https://structure.io
https://structure.io/structure-sensor,https://structure.io/structure-sensor-pro
https://structure.io/structure-sensor,https://structure.io/structure-core
https://structure.io/structure-sensor,https://structure.io/developers
https://structure.io/structure-sensor,https://structure.io/structure-sensor/apps
https://structure.io/structure-sensor,https://structure.io/structure-sensor-pro/specs
https://structure.io/structure-sensor,https://structure.io/buy/accessories
https://structure.io/structure-sensor,https://store.structure.io/buy/structure-sensor-pro
https://structure.io/structure-sensor,https://structure.io/structure-core/getstarted
https://structure.io/structure-sensor,https://structure.io/structure-core/specs
https://structure.io/structure-sensor,https://store.structure.io/buy/structure-core
https://structure.io/structure-sensor,https://store.structure.io/buy/skanect-pro
https://structure.io/structure-sensor,https://developer.structure.io/sdk
https://structure.io/structure-sensor,https://store.structure.io/store/checkout/shipping
https://structure.io/structure-sensor,https://s3.amazonaws.com/io.structure.assets/White+Paper+-+Human+Limb+Scanning+with+Improved+Accuracy_v1.0+.pdf
https://structure.io/structure-sensor,https://structure.io/buy/structure-sensor-pro
https://structure.io/structure-sensor,https://structure.io/news
https://structure.io/structure-sensor,https://structure.io/brand-guidelines
https://structure.io/structure-sensor,https://occipital.com/perception
http://canvas.io,https://canvas.io/#feedback
http://canvas.io,https://canvas.io/#pricing
http://canvas.io,https://canvas.io/export-sketchup
http://canvas.io,https://canvas.io/export-chief-architect
http://canvas.io,https://canvas.io/export-revit
http://canvas.io,https://canvas.io/export-2020
http://canvas.io,https://canvas.io/export-2d-drawings
http://canvas.io,https://canvas.io/pricing
http://canvas.io,https://support.canvas.io
http://canvas.io,https://canvas.io/account/login
http://canvas.io,https://canvas.io/account
http://canvas.io,https://canvas.io/account/settings
http://canvas.io,https://canvas.io/account/logout
http://canvas.io,https://canvas.io/#get-canvas
http://canvas.io,https://support.canvas.io/article/5-what-kind-of-accuracy-can-i-expect-from-canvas
http://canvas.io,https://support.canvas.io/article/615-how-does-scan-to-cad-pricing-work
http://canvas.io,https://support.canvas.io/article/618-how-long-will-it-take-to-receive-my-scan-to-cad-order
http://canvas.io,https://support.canvas.io/article/13-what-file-formats-and-programs-does-scan-to-cad-export
http://canvas.io,https://canvas.io/#sample
http://canvas.io,https://support.canvas.io/article/604-can-canvas-be-used-with-an-ipad-or-iphone-without-lidar
http://canvas.io,https://canvas.io/#apple-event-iphone-12-pro-video
http://canvas.io,https://canvas.io/case-study-lotus-construction-group
http://canvas.io,https://canvas.io/case-study-mcmanus-kitchen-and-bath
http://canvas.io,https://canvas.io/case-study-noz-design
http://canvas.io,https://canvas.io/case-study-christensen-design-studio
http://canvas.io,https://canvas.io/case-study-green-stories-architecture
http://canvas.io,https://canvas.io/case-study-thornton-weiler-architect
http://canvas.io,https://canvas.io/press
