Source,Target
https://www.yanzi.se,https://www.yanzi.se/smart-building
https://www.yanzi.se,https://www.yanzi.se/products
https://www.yanzi.se,https://blog.yanzinetworks.com
https://www.yanzi.se,https://www.yanzi.se/careers
https://www.yanzi.se,https://yanzi.freshdesk.com
https://www.yanzi.se,https://yanzi.dev
https://www.yanzi.se,https://www.yanzi.se/resources
https://www.yanzi.se,https://www.yanzi.se/contact-yanzi
https://www.yanzi.se,http://yanzi.cloud
https://www.yanzi.se,https://meetings.hubspot.com/mattias21
https://www.yanzi.se,https://www.yanzi.se/#values
https://www.yanzi.se,https://www.yanzi.se/solution
https://www.yanzi.se,https://www.gartner.com/newsroom/id/3785664
https://www.yanzi.se,https://www.zdnet.com/article/optimising-the-smart-office-a-marriage-of-technology-and-people
https://www.yanzi.se,https://www.pega.com/marketforce-future-of-work
https://www.yanzi.se,http://www.techproresearch.com/downloads/smart-office-technology-what-s-working-what-s-failing-and-what-users-want-out-of-it
https://www.yanzi.se,http://cdn2.hubspot.net/hubfs/1822507/2016-WPR/Americas/Final_Digital_PDF.pdf?__hstc=130454992.8a55ba3fb8b2d9df05f099d013e97b64.1522136067868.1522140299112.1523623820085.3&__hssc=130454992.1.1523867649859&__hsfp=474184645&hsCtaTracking=7f761c46-6062-436e-824a-e3a1a252b89c%7C6ccb9a82-f9ce-4b49-9afb-f030459d27b9
https://www.yanzi.se,https://www.memoori.com/wp-content/uploads/2017/10/The-Future-Workplace-2017-Synopsis.pdf
https://www.yanzi.se,http://www.worktechacademy.com/smart-office-buildings-features-people-really-want
https://www.yanzi.se,http://officeagenda.britishland.com/smart-offices-submitted
https://www.yanzi.se/smart-building,https://www.yanzi.se/smart-building/index.html
https://www.yanzi.se/smart-building,https://www.yanzi.se/smart-building/index.html#easiest
https://www.yanzi.se/smart-building,https://www.yanzi.se/insights
https://www.yanzi.se/smart-building,https://www.yanzi.se/discover
https://www.yanzi.se/smart-building,https://ecostruxure-building-help.se.com/wpa
https://www.yanzi.se/smart-building,https://www.steelcase.com/products/workplace-optimization-analytics/workplace-advisor-study
https://www.yanzi.se/smart-building,https://spicatech.co.uk
https://www.yanzi.se/smart-building,https://www.yanzi.se/yanzi-at-intel-iot-insights-day-in-san-francisco
https://www.yanzi.se/smart-building,https://www.yanzi.se/yanzi-and-ibm-at-iss-hq-in-copenhagen
https://www.yanzi.se/smart-building,https://www.yanzi.se/yanzi-and-watson-iot-raising-the-iq-of-buildings
https://www.yanzi.se/smart-building,https://www.yanzi.se/learn-more-about-the-smart-office-with-coor-intel-and-yanzi
https://www.yanzi.se/smart-building,https://www.yanzi.se/amazingly-smart-office-with-yanzi-ibm-and-intel
https://www.yanzi.se/products,https://www.yanzi.se/products/index.html
https://blog.yanzinetworks.com,https://yanzinetworks.com
https://blog.yanzinetworks.com,https://yanzinetworks.com/contact-us
https://blog.yanzinetworks.com,https://yanzi.cloud
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/#subscribe
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/spica-technologies-joins-nordomatic-family
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/author/mattias
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/statement-on-log4j
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/launch-new-documentation-hub
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/author/thomas
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/catch-us-at-the-proptech-ramble-june-24th
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/regional-endpoints
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/new-phone-who-dis
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/yanzi-finalist-in-cbre-innovation-challenge
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/yanzi-xmas-sw-updates-bring-long-awaited-presents
https://blog.yanzinetworks.com,https://blog.yanzinetworks.com/a-matter-of-national-security
https://blog.yanzinetworks.com,https://ghost.org
https://www.yanzi.se/careers,https://www.yanzi.se/careers/index.html
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/home
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/login
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/signup
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/tickets
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/13000003454
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/folders/13000013680
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/articles/13000067853-documentation-yanzi-dev
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/folders/5000190717
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/articles/13000050773-rma-form-warranty-replacements
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/folders/13000013427
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/solutions/articles/13000066699-privacy
https://yanzi.freshdesk.com,https://yanzi.freshdesk.com/support/home#portal-cookie-info
https://yanzi.freshdesk.com,https://freshdesk.com/?utm_source=portal&utm_medium=reflink&utm_campaign=portal_reflink
https://yanzi.dev,https://yanzi.dev/#yanzi-documentation-hub
https://yanzi.dev,https://yanzi.dev/user-manual
https://yanzi.dev,https://yanzi.dev/developer
https://yanzi.dev,https://yanzi.dev/user-manual/support
https://yanzi.dev,https://yanzi.dev/#useful-links
https://yanzi.dev,https://yanzi.dev/#news
https://yanzi.dev,https://yanzi.dev/#release-notes
https://yanzi.dev,https://yanzi.dev/#maintenance-schedule
https://yanzi.dev,https://yanzi.dev/#product-briefs
https://yanzi.dev,https://yanzi.dev/#sensors
https://yanzi.dev,https://yanzi.dev/#yanzi-presence-mini
https://yanzi.dev,https://yanzi.dev/#yanzi-motion
https://yanzi.dev,https://yanzi.dev/#yanzi-comfort
https://yanzi.dev,https://yanzi.dev/#yanzi-footfall-camera
https://yanzi.dev,https://yanzi.dev/#katrin-smart-dispensers
https://yanzi.dev,https://yanzi.dev/#infrastructure
https://yanzi.dev,https://yanzi.dev/#yanzi-iot-gateway-2-access-point-2
https://yanzi.dev,https://yanzi.dev/#yanzi-iot-gateway-l-and-xl
https://yanzi.dev,https://yanzi.dev/#yanzi-iot-mesh-and-hybrid-mesh
https://yanzi.dev,https://yanzi.dev/user-manual/troubleshoot
https://yanzi.dev,https://yanzi.dev/user-manual/insights
https://yanzi.dev,https://yanzi.dev/user-manual/regulatory
https://yanzi.dev,https://yanzi.dev/user-manual/models
https://yanzi.dev,https://yanzi.dev/user-manual/colors
https://yanzi.dev,https://yanzi.dev/user-manual/config-assistant
https://yanzi.dev,https://yanzi.dev/user-manual/migration
https://yanzi.dev,https://yanzi.dev/user-manual/utilization
https://yanzi.dev,https://yanzi.dev/security/advisories
https://yanzi.dev,https://yanzi.dev/developer/datamodel
https://yanzi.dev,https://yanzi.dev/developer/certificate-auth
https://yanzi.dev,https://yanzi.dev/developer/building-model
https://yanzi.dev,https://yanzi.dev/developer/graphql
https://yanzi.dev,https://yanzi.dev/developer/graphql/getting-started
https://yanzi.dev,https://yanzi.dev/developer/graphql/html
https://yanzi.dev,https://yanzi.dev/developer/graphql/python
https://yanzi.dev,https://www.yanzinetworks.com/legal/yanzi-terms-of-service.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/index?id=gateway-led-behavior
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07075-presence-mini-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07067-motion-plus-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07066-comfort-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07086-footfall-3d-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07077-dispenser-series-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07076-gateway-ap-2-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07062-gateway-l-xl-smart-building.pdf
https://yanzi.dev,https://yanzi.dev/user-manual/product-briefs/product-brief-890-07078-iot-mesh-v04.pdf
https://yanzi.dev,https://squidfunk.github.io/mkdocs-material
https://www.yanzi.se/resources,https://www.yanzi.se/resources/index.html
https://www.yanzi.se/resources,https://www.yanzi.se/preparing-for-installation
https://www.yanzi.se/resources,https://www.yanzi.se/how-to-start-an-installation
https://www.yanzi.se/resources,https://www.yanzi.se/sensor-placement
https://www.yanzi.se/resources,https://www.yanzi.se/how-to-install-a-sensor
https://www.yanzi.se/resources,https://www.yanzi.se/security-and-privacy
https://www.yanzi.se/resources,https://www.yanzi.se/infrastructure-tips-tricks
https://www.yanzi.se/resources,https://www.yanzi.se/sensors-tips-tricks
https://www.yanzi.se/contact-yanzi,https://www.yanzi.se/contact-yanzi/index.html
https://www.yanzi.se/contact-yanzi,https://altacogni.com
https://www.yanzi.se/solution,https://www.yanzi.se/solution/index.html
https://www.yanzi.se/solution,https://www.yanzi.se/client-cases
https://www.yanzi.se/solution,https://www.yanzi.se/newsroom
https://www.yanzi.se/solution,https://www.yanzi.se/management
https://www.yanzi.se/solution,https://www.yanzi.se/contact
https://www.yanzi.se/solution,https://www.yanzi.se/solution/index.html#sensor_platform
https://www.yanzi.se/solution,https://www.yanzi.se/solution/index.html#yanzi_network
https://www.yanzi.se/solution,https://www.yanzi.se/solution/index.html#yanzi_cloud_platform
https://www.yanzi.se/solution,https://www.yanzi.se/solution/index.html#sensors_and_gateways
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/account/signin?TARGET=https%3A%2F%2Fwww.gartner.com%2Fen%2Fnewsroom%2Fpress-releases%2F2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/calendar
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom
https://www.gartner.com/newsroom/id/3785664,https://jobs.gartner.com
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-0
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/topics/russia-ukraine-executive-response
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/strategic-planning
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/leadership-vision
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/future-of-work
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/sustainable-business
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/gartner-business-quarterly
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/human-resources/insights/diversity-equity-inclusion
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/smarterwithgartner
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/smarterwithgartner?type=Content%20type&tag=Guide
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/audit-risk
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/customer-service-support
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/finance
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/human-resources
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/information-technology
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/legal-compliance
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/marketing
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/product-management
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/innovation-strategy
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/sales
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/supply-chain
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/education
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/energy-utilities
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/financial-services
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/government-public-sector/all
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/healthcare-providers-digital-transformation
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/high-tech
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/investment-services
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/manufacturing-digital-transformation
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/retail
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/experts
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-2
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/tools
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/products/buysmart
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/research/methodologies/research-methodologies-gartner-critical-capabilities
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/marketing/research/digital-iq
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/research/methodologies/gartner-hype-cycle
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/research/methodologies/magic-quadrants-research
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/industries/high-tech/gartner-product-decisions
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/benchmarking
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/insights/cost-optimization
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-3
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/connect-with-peers
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/calendar/all/apac
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/calendar/all/emea
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/calendar/all/na
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/calendar/all/all/all/virtual
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/peer-insights/home
https://www.gartner.com/newsroom/id/3785664,https://www.evanta.com
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/become-a-client?bacCtaId=bacTopNavCtaBecomeAClient
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/audit-risk
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/customer-service-support
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/finance
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/human-resources
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/information-technology
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/legal-compliance
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/marketing
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/sales
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/topics/supply-chain
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-contacts
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/media-registration
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/attribution-guide
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/investor-relations
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/public-relations-policy
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/gartner-social-contacts
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/media-resources/calendar
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/insights
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/insights/smarter-with-gartner
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/insights/blogs
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/insights/webinars
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/insights/podcasts
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/archive
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-to-0
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-to-2
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/newsroom/press-releases/2017-08-17-gartner-releases-hype-cycle-for-the-digital-workplace-2017#collapse-to-3
https://www.gartner.com/newsroom/id/3785664,http://www.gartner.com/smarterwithgartner/every-employee-is-a-digital-employee
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/analyst/25743
https://www.gartner.com/newsroom/id/3785664,http://www.gartner.com/it-glossary/virtual-assistant-va
https://www.gartner.com/newsroom/id/3785664,http://www.gartner.com/smarterwithgartner/artificial-intelligence-and-the-enterprise
https://www.gartner.com/newsroom/id/3785664,http://www.gartner.com/smarterwithgartner/what-we-can-do-with-machine-learning
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/document/3771463?ref=TypeAheadSearch&qid=fbd67d8cfece2e5e63
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/information-technology/applications-leaders?cm_sp=swg-_-cta-_-applicationshub
https://www.gartner.com/newsroom/id/3785664,https://www.gartner.com/en/conferences/emea/digital-workplace-uk
https://www.gartner.com/newsroom/id/3785664,http://gartner.com
